id	Domain	ChapterLevel	uniqTrait	no_rep_phenos	no_rep_disease	no_rep_disease_disorder	indep_phenos	indep_disease	indep_disease_disorder
884	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in IDL	1	0	0	0	0	0
885	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Isoleucine	1	0	0	0	0	0
886	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in large HDL	1	0	0	0	0	0
887	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in large HDL	1	0	0	0	0	0
888	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in large HDL	1	0	0	0	0	0
889	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in large HDL	1	0	0	0	0	0
890	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of large HDL particles	1	0	0	0	0	0
891	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in large HDL	1	0	0	0	0	0
892	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in large LDL	1	0	0	0	0	0
893	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in large LDL	1	0	0	0	0	0
894	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in large LDL	1	0	0	0	0	0
895	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in large LDL	1	0	0	0	0	0
896	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of large LDL particles	1	0	0	0	0	0
897	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in large LDL	1	0	0	0	0	0
898	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in large VLDL	1	0	0	0	0	0
899	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in large VLDL	1	0	0	0	0	0
900	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in large VLDL	1	0	0	0	0	0
901	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in large VLDL	1	0	0	0	0	0
902	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of large VLDL particles	1	0	0	0	0	0
903	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in large VLDL	1	0	0	0	0	0
904	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in large VLDL	1	0	0	0	0	0
905	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	18:2, linoleic acid (LA)	1	0	0	0	0	0
906	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Lactate	1	0	0	0	0	0
907	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in LDL	1	0	0	0	0	0
908	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	LDL diameter	1	0	0	0	0	0
909	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Leucine	0	0	0	0	0	0
910	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in medium HDL	1	0	0	0	0	0
911	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in medium HDL	1	0	0	0	0	0
912	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in medium HDL	1	0	0	0	0	0
913	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in medium HDL	1	0	0	0	0	0
914	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of medium HDL particles	1	0	0	0	0	0
915	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in medium HDL	1	0	0	0	0	0
916	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in medium LDL	1	0	0	0	0	0
917	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in medium LDL	1	0	0	0	0	0
918	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in medium LDL	1	0	0	0	0	0
919	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of medium LDL particles	1	0	0	0	0	0
920	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in medium LDL	1	0	0	0	0	0
921	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in medium VLDL	1	0	0	0	0	0
922	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in medium VLDL	1	0	0	0	0	0
923	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in medium VLDL	1	0	0	0	0	0
924	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in medium VLDL	1	0	0	0	0	0
925	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of medium VLDL particles	1	0	0	0	0	0
926	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in medium VLDL	1	0	0	0	0	0
927	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in medium VLDL	1	0	0	0	0	0
928	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	MonoLunsaturated fatty acids	1	0	0	0	0	0
929	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Other polyunsaturated fatty acids than 18:2	1	0	0	0	0	0
930	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phosphatidylcholine and other cholines	1	0	0	0	0	0
931	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phenylalanine	1	0	0	0	0	0
932	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Pyruvate	1	0	0	0	0	0
933	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in small HDL	1	0	0	0	0	0
934	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of small HDL particles	1	0	0	0	0	0
935	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in small HDL	1	0	0	0	0	0
936	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in small LDL	1	0	0	0	0	0
937	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in small LDL	1	0	0	0	0	0
938	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of small LDL particles	1	0	0	0	0	0
939	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in small VLDL	1	0	0	0	0	0
940	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in small VLDL	1	0	0	0	0	0
941	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in small VLDL	1	0	0	0	0	0
942	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of small VLDL particles	1	0	0	0	0	0
943	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in small VLDL	1	0	0	0	0	0
944	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in small VLDL	1	0	0	0	0	0
945	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Serum total cholesterol	1	0	0	0	0	0
946	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Serum total triglycerides	1	0	0	0	0	0
947	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Sphingomyelins	1	0	0	0	0	0
948	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total fatty acids	1	0	0	0	0	0
949	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total phosphoglycerides	1	0	0	0	0	0
950	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Tyrosine	1	0	0	0	0	0
951	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Urea	0	0	0	0	0	0
952	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Valine	1	0	0	0	0	0
953	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	VLDL diameter	1	0	0	0	0	0
954	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total cholesterol in very large HDL	1	0	0	0	0	0
955	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Cholesterol esters in very large HDL	1	0	0	0	0	0
956	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Free cholesterol in very large HDL	1	0	0	0	0	0
957	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in very large HDL	1	0	0	0	0	0
958	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of very large HDL particles	1	0	0	0	0	0
959	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in very large HDL	1	0	0	0	0	0
960	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in very large HDL	1	0	0	0	0	0
961	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in very large VLDL	1	0	0	0	0	0
962	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of very large VLDL particles	1	0	0	0	0	0
963	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in very large VLDL	1	0	0	0	0	0
964	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in very large VLDL	1	0	0	0	0	0
965	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in very small VLDL	1	0	0	0	0	0
966	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of very small VLDL particles	1	0	0	0	0	0
967	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in very small VLDL	1	0	0	0	0	0
968	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in very small VLDL	1	0	0	0	0	0
969	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Total lipids in chylomicrons and extremely large VLDL	1	0	0	0	0	0
970	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Concentration of chylomicrons and extremely large VLDL particles	1	0	0	0	0	0
971	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Phospholipids in chylomicrons and extremely large VLDL	1	0	0	0	0	0
972	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides in chylomicrons and extremely large VLDL	1	0	0	0	0	0
973	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Beta nerve growth factor	1	0	0	0	0	0
974	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Cutaneous T-cell attracting (CCL27)	1	0	0	0	0	0
975	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Eotaxin (CCL11)	1	0	0	0	0	0
976	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Basic fibroblast growth factor	1	0	0	0	0	0
977	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Granulocyte colony-stimulating factor	1	0	0	0	0	0
978	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Growth regulated oncogene (CXCL1)	1	0	0	0	0	0
979	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Hepatocyte growth factor	1	0	0	0	0	0
980	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interferon-gamma	1	0	0	0	0	0
981	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-10	1	0	0	0	0	0
982	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-12p70	1	0	0	0	0	0
983	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-13	1	0	0	0	0	0
984	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-16	1	0	0	0	0	0
985	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-17	1	0	0	0	0	0
986	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-18	1	0	0	0	0	0
987	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-1-beta	1	0	0	0	0	0
988	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-1 receptor antagonist	1	0	0	0	0	0
989	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-2	1	0	0	0	0	0
990	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-2 receptor, alpha subunit	1	0	0	0	0	0
991	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-4	1	0	0	0	0	0
992	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-5	1	0	0	0	0	0
993	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-6	1	0	0	0	0	0
994	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-7	1	0	0	0	0	0
995	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-8 (CXCL8)	1	0	0	0	0	0
996	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interleukin-9	0	0	0	0	0	0
997	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Interferon gamma-induced protein 10 (CXCL10)	1	0	0	0	0	0
998	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Monocyte chemotactic protein-1 (CCL2)	1	0	0	0	0	0
999	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Monocyte specific chemokine 3 (CCL7)	1	0	0	0	0	0
1000	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Macrophage colony-stimulating factor	1	0	0	0	0	0
1001	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	1	0	0	0	0	0
1002	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Monokine induced by interferon-gamma (CXCL9)	1	0	0	0	0	0
1003	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Macrophage inflammatory protein-1 (CCL3)	1	0	0	0	0	0
1004	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Macrophage inflammatory protein-1 (CCL4)	1	0	0	0	0	0
1005	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Platelet derived growth factor BB	1	0	0	0	0	0
1006	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Regulated on Activation, Normal T Cell Expressed and Secreted (CCL5)	1	0	0	0	0	0
1007	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Stem cell factor	1	0	0	0	0	0
1008	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Stem cell growth factor beta	1	0	0	0	0	0
1009	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Stromal cell-derived factor-1 alpha (CXCL12)	1	0	0	0	0	0
1010	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Tumor necrosis factor alpha	0	0	0	0	0	0
1011	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Tumor necrosis factor beta	1	0	0	0	0	0
1012	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	TNF-related apoptosis inducing ligand	1	0	0	0	0	0
1013	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Vascular endothelial growth factor	1	0	0	0	0	0
1014	Skeletal	Neuromusculoskeletal and Movement-Related Functions	Bone Ultrasound Attenuation	1	0	0	0	0	0
1015	Skeletal	Neuromusculoskeletal and Movement-Related Functions	Bone Ultrasound Attenuation	0	0	0	0	0	0
1016	Skeletal	Structures Related to Movement	Femoral bone mineral density	0	0	0	0	0	0
1017	Skeletal	Structures Related to Movement	Femoral bone mineral density	1	0	0	0	0	0
1018	Skeletal	Structures Related to Movement	Lumbar Spine bone mineral density	0	0	0	0	0	0
1019	Skeletal	Structures Related to Movement	Lumbar Spine bone mineral density	0	0	0	0	0	0
1020	Skeletal	Structures Related to Movement	Neck Cross-Sectional Moment of Inertia	0	0	0	0	0	0
1021	Skeletal	Structures Related to Movement	Neck Cross-Sectional Moment of Inertia	1	0	0	0	0	0
1022	Skeletal	Structures Related to Movement	Neck Cross-Sectional Moment of Inertia	0	0	0	0	0	0
1023	Skeletal	Structures Related to Movement	Neck Cross-Sectional Moment of Inertia	0	0	0	0	0	0
1024	Skeletal	Structures Related to Movement	Femoral Neck Length	1	0	0	0	0	0
1025	Skeletal	Structures Related to Movement	Femoral Neck Length	0	0	0	0	0	0
1026	Skeletal	Structures Related to Movement	Femoral Neck Length	0	0	0	0	0	0
1027	Skeletal	Structures Related to Movement	Femoral Neck Length	0	0	0	0	0	0
1028	Skeletal	Structures Related to Movement	Neck Width	1	0	0	0	0	0
1029	Skeletal	Structures Related to Movement	Neck Width	0	0	0	0	0	0
1030	Skeletal	Structures Related to Movement	Neck Width	0	0	0	0	0	0
1031	Skeletal	Structures Related to Movement	Neck Width	0	0	0	0	0	0
1032	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1033	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1034	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1035	Skeletal	Structures Related to Movement	Neck Section Modulus	0	0	0	0	0	0
1036	Skeletal	Structures Related to Movement	Neck-Shaft Angle	1	0	0	0	0	0
1037	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1038	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1039	Skeletal	Structures Related to Movement	Neck-Shaft Angle	0	0	0	0	0	0
1040	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1041	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1042	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1043	Skeletal	Structures Related to Movement	Shaft Width	0	0	0	0	0	0
1044	Skeletal	Neuromusculoskeletal and Movement-Related Functions	Bone Ultrasound Speed	0	0	0	0	0	0
1045	Skeletal	Neuromusculoskeletal and Movement-Related Functions	Bone Ultrasound Speed	1	0	0	0	0	0
1046	Skeletal	Structures Related to Movement	Trochanter bone mineral density	1	0	0	0	0	0
1047	Skeletal	Structures Related to Movement	Trochanter bone mineral density	0	0	0	0	0	0
1048	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes	0	0	0	0	0	0
1049	Neurological	Diseases of the Nervous System	Parkinson Disease	0	0	0	0	0	0
1050	Neurological	Diseases of the Nervous System	Parkinson Disease	0	0	0	0	0	0
1051	Neurological	Diseases of the Nervous System	Parkinson Disease	0	0	0	0	0	0
1052	Neurological	Diseases of the Nervous System	Ischemic stroke	1	1	1	0	0	0
1053	Neoplasms	Malignant Neoplasms	Neuroblastoma	1	0	0	0	0	0
1054	Neurological	Diseases of the Nervous System	Amyotrophic lateral sclerosis	0	0	0	0	0	0
1055	Gastrointestinal	Diseases of the Digestive System	Inflammatory Bowel Disease	0	0	0	0	0	0
1056	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Systemic Lupus Erythematosus	0	0	0	0	0	0
1057	Psychiatric	Mental and Behavioural Disorders	Major depressive disorder	0	0	0	0	0	0
1058	Neurological	Diseases of the Nervous System	Amyotrophic lateral sclerosis	0	0	0	0	0	0
1059	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Diabetic Nephropathy in Type 1 Diabetes	1	1	1	0	0	0
1060	Neoplasms	Malignant Neoplasms	Breast cancer	0	0	0	0	0	0
1061	Neurological	Diseases of the Nervous System	Multiple Sclerosis	0	0	0	0	0	0
1062	Dermatological	Diseases of the Skin and Subcutaneous Tissue	Psoriasis	1	1	1	0	0	0
1063	Psychiatric	Mental Functions	Schizophrenia	0	0	0	0	0	0
1064	Psychiatric	Mental and Behavioural Disorders	Bipolar disorder	0	0	0	0	0	0
1066	Neurological	Diseases of the Nervous System	Multiple Sclerosis	0	0	0	0	0	0
1067	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 1 Diabetes	0	0	0	0	0	0
1069	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Diabetic Nephropathy in Type 1 Diabetes	0	0	0	0	0	0
1070	Neurological	Diseases of the Nervous System	Familial Parkinson Disease	1	1	1	0	0	0
1071	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Diabetic Nephropathy in Type 1 Diabetes	0	0	0	0	0	0
1072	Skeletal	Diseases of the Musculoskeletal System and Connective Tissue	Systemic Lupus Erythematosus	0	0	0	0	0	0
1073	Neurological	Diseases of the Nervous System	Parkinson Disease	0	0	0	0	0	0
1074	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Serum levels of soluble E-selectin with T1D	1	0	0	0	0	0
1076	Neoplasms	Malignant Neoplasms	Pancreatic Cancer	0	0	0	0	0	0
1077	Psychiatric	Mental and Behavioural Disorders	Attention deficit hyperactivity disorder	0	0	0	0	0	0
1078	Immunological	Nutritional Anaemias	Serum Iron concentration	1	0	0	0	0	0
1079	Neoplasms	Malignant Neoplasms	Prostate cancer	0	0	0	0	0	0
1080	Neoplasms	Malignant Neoplasms	Prostate cancer	0	0	0	0	0	0
1081	Neurological	Diseases of the Nervous System	Alzheimer disease	0	0	0	0	0	0
1082	Hematological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Hemoglobin A1C level	1	0	0	0	0	0
1083	Hematological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Hemoglobin A1C level	0	0	0	0	0	0
1084	Hematological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Hemoglobin A1C level	0	0	0	0	0	0
1085	Connective Tissue	Diseases of the Musculoskeletal System and Connective Tissue	Behcet disease	1	1	1	0	0	0
1086	Neoplasms	Malignant Neoplasms	Pancreatic Cancer	1	0	0	0	0	0
1087	Ophthalmological	The Eye, Ear and Related Structures	Age-related Macular Degeneration	0	0	0	0	0	0
1088	Neoplasms	Malignant Neoplasms	Neuroblastoma	0	0	0	0	0	0
1090	Psychiatric	Mental and Behavioural Disorders	Alcohol dependence	0	0	0	0	0	0
1093	Neoplasms	Malignant Neoplasms	Glioma	1	0	0	0	0	0
1094	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Systolic Blood Pressure	0	0	0	0	0	0
1095	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Diastolic Blood Pressure	0	0	0	0	0	0
1096	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Pulse pressure	1	0	0	0	0	0
1097	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Mean Arterial Pressure	1	0	0	1	0	0
1098	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
1099	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	C-reactive protein	1	0	0	0	0	0
1100	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Diastolic Blood Pressure	0	0	0	0	0	0
1101	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Glucose	0	0	0	0	0	0
1102	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	High-density lipoprotein cholesterol	0	0	0	0	0	0
1103	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Insulin	1	0	0	0	0	0
1104	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Low-density lipoprotein cholesterol	0	0	0	0	0	0
1105	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Systolic Blood Pressure	0	0	0	0	0	0
1106	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Triglycerides	0	0	0	0	0	0
1135	Dermatological	Diseases of the Skin and Subcutaneous Tissue	Eczema	1	1	1	0	0	0
1136	Mortality	Mortality	Parents' age at death	1	0	0	0	0	0
1137	Mortality	Mortality	Father's age at death	0	0	0	0	0	0
1138	Mortality	Mortality	Mother's age at death	1	0	0	0	0	0
1139	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Body Mass Index	0	0	0	0	0	0
1140	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Type 2 Diabetes	0	0	0	0	0	0
1141	Psychiatric	Mental Functions	Chronotype	0	0	0	0	0	0
1142	Psychiatric	Mental Functions	Sleep duration	0	0	0	0	0	0
1147	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Ratio of AUC insulin to AUC glucose	1	0	0	0	0	0
1148	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	AUC insulin	1	0	0	0	0	0
1149	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Insulin response	1	0	0	0	0	0
1150	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Insulin response	0	0	0	0	0	0
1151	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Disposition index	1	0	0	0	0	0
1152	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Incremental insulin 30 min	1	0	0	0	0	0
1153	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Insulin response	0	0	0	0	0	0
1154	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Insulin	0	0	0	0	0	0
1155	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Insulin sensitivity index	0	0	0	0	0	0
1156	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting glucose	0	0	0	1	0	0
1157	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting glucose	1	0	0	0	0	0
1158	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting glucose interaction	1	0	0	0	0	0
1159	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting insulin	0	0	0	0	0	0
1160	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting insulin	1	0	0	0	0	0
1161	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting insulin interaction	1	0	0	0	0	0
1162	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting proinsulin	1	0	0	0	0	0
1163	Hematological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Hemoglobin A1C	1	0	0	0	0	0
1164	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Glucose	0	0	0	0	0	0
1165	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting glucose	0	0	0	0	0	0
1166	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Fasting insulin	0	0	0	0	0	0
1167	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	HOMA-B	1	0	0	0	0	0
1168	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	HOMA-IR	0	0	0	0	0	0
1169	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Leptin	0	0	0	0	0	0
1170	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Leptin	1	0	0	0	0	0
1172	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Heart rate	1	0	0	0	0	0
1173	Psychiatric	Mental Functions	Chronotype	0	0	0	0	0	0
1174	Psychiatric	Mental Functions	Chronotype	0	0	0	0	0	0
1175	Psychiatric	Mental Functions	Excessive daytime sleepness	1	0	0	0	0	0
